21 - Adjusted net enrolment rate in primary education by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2005,Both sexes,70.28,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:29,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2009,Female,85.54,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:01,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2009,Male,82.67,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:15,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2009,Both sexes,84.08,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:30,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2010,Female,87.91,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:01,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2010,Male,84.49,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:15,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2010,Both sexes,86.17,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:30,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,1998,Female,49.5,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:56,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,1998,Male,56.84,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:12,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,1998,Both sexes,53.2,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:27,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2001,Female,57.66,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:57,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2001,Male,62.87,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:13,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2001,Both sexes,60.28,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:28,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2006,Female,74.62,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:59,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2006,Male,73.61,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:14,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2006,Both sexes,74.11,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:29,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2011,Female,88.61,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:01,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2011,Male,85.32,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:15,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2011,Both sexes,86.94,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:30,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2012,Female,90.18,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:02,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2012,Male,87.25,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:16,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2012,Both sexes,88.69,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:31,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2013,Female,88.7,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:02,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2013,Male,86.05,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:16,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2013,Both sexes,87.36,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:31,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2015,Female,85.87,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:02,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2015,Male,83.41,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:16,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2015,Both sexes,84.62,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:31,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2016,Female,83.98,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:03,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2016,Male,82.04,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:17,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,64,Bhutan,2016,Both sexes,83,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:32,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2003,Female,99.71,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:57,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2003,Male,99.52,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:13,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2003,Both sexes,99.62,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:28,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2008,Female,95.11,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:01,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2008,Male,95.98,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:15,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2008,Both sexes,95.55,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:30,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2005,Female,97.24,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:59,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2005,Male,97.27,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:14,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2005,Both sexes,97.25,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:29,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2007,Female,96.02,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:59,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2007,Male,96.72,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:14,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2007,Both sexes,96.37,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:29,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2009,Female,92.74,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:01,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2009,Male,94.01,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:15,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2009,Both sexes,93.38,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:30,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2010,Female,94.22,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:01,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2010,Male,95.86,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:15,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2010,Both sexes,95.04,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:30,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2001,Both sexes,99.88,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:28,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2004,Both sexes,96.85,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:29,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2006,Female,96.47,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:59,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2006,Male,96.99,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:14,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2006,Both sexes,96.73,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:29,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2011,Female,94.18,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:01,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2011,Male,96.17,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:15,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2011,Both sexes,95.18,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:30,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2002,Both sexes,99.92,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:28,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2012,Female,94.36,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:02,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2012,Male,96.33,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:16,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2012,Both sexes,95.35,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:31,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2013,Female,95.51,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:02,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2013,Male,97.45,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:16,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2013,Both sexes,96.48,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:31,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2014,Female,96.43,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:02,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2014,Male,98.18,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:16,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2014,Both sexes,97.31,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:31,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2015,Both sexes,99.08,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:31,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,144,Sri Lanka,2016,Both sexes,99.08,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:32,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2003,Female,87.33,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:57,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2003,Male,90,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:13,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2003,Both sexes,88.73,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:28,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2008,Female,97.65,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:01,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2008,Male,96.42,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:15,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2008,Both sexes,97,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:30,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2000,Female,76.65,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:57,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2000,Male,91.04,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:13,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2000,Both sexes,84.17,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:28,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2007,Female,96.22,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:59,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2007,Male,97.67,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:14,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2007,Both sexes,96.98,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:29,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2009,Female,96.9,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:01,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2009,Male,94.55,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:15,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2009,Both sexes,95.66,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:30,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2010,Female,97.2,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:01,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2010,Male,95.32,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:15,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2010,Both sexes,96.21,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:30,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2001,Female,77.38,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:57,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2001,Male,90.21,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:13,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2001,Both sexes,84.09,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:28,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2011,Female,97.19,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:01,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2011,Male,94.5,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:15,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2011,Both sexes,95.77,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:30,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2002,Female,77.78,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:57,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2002,Male,89.45,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:13,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2002,Both sexes,83.9,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:28,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2012,Female,97.72,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:02,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2012,Male,96.36,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:16,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2012,Both sexes,97,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:31,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2013,Female,98.45,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:02,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2013,Male,97.09,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:16,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,356,India,2013,Both sexes,97.73,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:31,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,364,Iran (Islamic Republic of),1999,Female,83.71,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:56,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,364,Iran (Islamic Republic of),1999,Male,87.3,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:12,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,364,Iran (Islamic Republic of),1999,Both sexes,85.54,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:27,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,364,Iran (Islamic Republic of),2003,Female,91.05,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:57,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,364,Iran (Islamic Republic of),2003,Male,94.48,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:13,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,364,Iran (Islamic Republic of),2003,Both sexes,92.8,-,-,Country data,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:28,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,364,Iran (Islamic Republic of),2000,Female,83.34,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:57,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,364,Iran (Islamic Republic of),2000,Male,86.35,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:13,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,364,Iran (Islamic Republic of),2000,Both sexes,84.87,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:28,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,364,Iran (Islamic Republic of),2005,Female,94.42,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:22:59,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,364,Iran (Islamic Republic of),2005,Male,96.77,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:14,0,0,0,0,-,0
Adjusted net enrolment rate in primary education by sex,Southern Asia,364,Iran (Islamic Republic of),2005,Both sexes,95.62,-,-,Estimated,not available,Data extracted via UNESCO API on: 2018-07-31T16:23:29,0,0,0,0,-,0
